,station_id,station_name,lat,long,start_n,end_n,e_start_n,e_end_n,c_start_n,c_end_n,total,classic,electric
183,15666,California Ave & Lake St,41.884454,-87.696298,76,67,50,47,24,19,143,43,97
184,15667,Western Ave & Monroe St,41.87978771,-87.68611281,122,116,52,50,62,64,238,126,102
185,15668,Western Ave & Congress Pkwy,41.87474885,-87.68644528,232,216,132,105,98,111,448,209,237
186,15682,Kedzie Ave & Roosevelt Rd,41.86649278,-87.70649618,12,9,7,8,5,1,21,6,15
187,15685,Central Park Ave & Ogden Ave,41.854064,-87.715117,48,44,9,9,34,33,92,67,18
188,15686,Kedzie Ave & 21st St,41.85353363,-87.70507303,8,11,3,4,5,7,19,12,7
189,15687,Central Park Ave & 24th St,41.8481955,-87.71506167,8,15,5,8,3,5,23,8,13
190,15689,California Ave & 23rd Pl,41.84910969,-87.69513981,50,44,19,19,30,25,94,55,38
191,15691,Albany Ave & 26th St,41.84458033,-87.70212017,15,16,9,6,6,10,31,16,15
192,15692,California Ave & 26th St,41.84367991,-87.69496858,29,30,24,22,4,8,59,12,46
193,16010,Keystone Ave & Fullerton Ave,41.92462717,-87.7278715,46,54,22,25,22,27,100,49,47
194,16806,Bosworth Ave & Howard St,42.019537,-87.669563,59,58,10,9,45,47,117,92,19
195,16903,Cicero Ave & Lake St,41.886841,-87.745261,26,16,19,12,5,4,42,9,31
196,16905,Central Ave & Lake St,41.887664,-87.765469,7,6,3,3,2,2,13,4,6
197,16906,Austin Blvd & Lake St,41.88805961,-87.77426541,19,25,11,12,4,9,44,13,23
198,16907,Central Park Blvd & 5th Ave,41.875679,-87.71547,12,13,1,0,8,9,25,17,0
199,16912,Cicero Ave & Flournoy St,41.872131,-87.746619,1,4,0,0,1,4,5,5,0
200,16913,Cicero Ave & Quincy St,41.877613,-87.745405,2,1,0,0,2,0,3,0,0
201,16915,Central Ave & Harrison St,41.872993,-87.764499,10,5,6,4,3,1,15,4,10
202,16916,Central Ave & Madison St,41.880121,-87.763238,10,11,2,2,8,9,21,17,4
203,16918,Austin Blvd & Madison St,41.880281,-87.774453,21,14,12,7,6,3,35,9,19
204,16920,Central Ave & Chicago Ave,41.89495133,-87.76489383,38,30,19,14,18,16,68,34,33
205,16921,Austin Blvd & Chicago Ave,41.894887,-87.774704,14,16,6,5,8,10,30,18,11
206,16932,Ashland Ave & Pershing Rd,41.8234325,-87.66560267,12,10,7,5,5,5,22,10,12
207,16933,Morgan St & Pershing Rd,41.823613,-87.650931,6,11,2,0,2,11,17,13,0
208,16937,Ashland Ave & McDowell Ave,41.80889809,-87.66451371,16,12,13,6,3,6,28,9,19
209,16940,Ashland Ave & 50th St,41.80298233,-87.66468871,7,11,5,4,2,7,18,9,9
210,16943,Ashland Ave & Garfield Blvd,41.792822,-87.664429,7,6,4,5,2,1,13,3,9
211,16948,Ashland Ave & 63rd St,41.779374,-87.664843,16,9,6,3,10,6,25,16,9
212,16950,Ashland Ave & 66th St,41.77405917,-87.66375967,2,4,2,3,0,0,6,0,5
213,16953,Vincennes Ave & 75th St,41.75797,-87.63121,5,3,0,0,4,3,8,7,0
214,16970,Bennett Ave & 79th St,41.75179067,-87.57856267,9,3,1,0,8,3,12,11,0
215,16991,Milwaukee Ave & Cuyler Ave,41.95449817,-87.74958944,48,58,32,33,13,22,106,35,65
216,16994,Kilbourn Ave & Milwaukee Ave,41.94707089,-87.74000823,13,13,6,6,7,7,26,14,12
217,17660,California Ave & Cortez St,41.90035983,-87.6966615,368,317,237,206,123,103,685,226,443
218,18003,Fairbanks St & Superior St,41.895748,-87.620104,540,577,208,218,324,344,1117,668,426
219,18016,Bernard St & Elston Ave,41.94997217,-87.71394133,83,82,55,58,28,23,165,51,113
220,18017,Central Park Ave & Bloomingdale Ave,41.914166,-87.716755,167,181,51,57,104,108,348,212,108
221,18022,Archer (Damen) Ave & 37th St,41.826712,-87.683144,37,35,16,13,17,18,72,35,29
222,18025,Carpenter St & 63rd St,41.77987,-87.650919,1,1,0,0,1,1,2,2,0
223,18058,Leavitt St & Chicago Ave,41.895501,-87.682017,272,279,139,135,131,130,551,261,274
224,18062,Aberdeen St & Randolph St,41.884114,-87.654264,617,683,270,279,329,396,1300,725,549
225,18067,Walsh Park,41.91461,-87.667968,520,434,130,114,378,309,954,687,244
226,18069,Cherry Ave & Blackhawk St,41.90720904,-87.65559506,120,127,63,63,54,64,247,118,126
227,20,Damen Ave & Wabansia Ave,41.91,-87.68,137,120,137,120,0,0,257,0,257
228,20101,Summit Ave & 86th St,41.73785217,-87.644965,9,6,7,4,2,2,15,4,11
229,20102,Loomis St & 89th St,41.73237975,-87.65806943,23,18,17,13,6,5,41,11,30
230,20103,Prospect Sq & 91st St,41.72793217,-87.66763267,24,19,20,14,3,4,43,7,34
231,20104,State St & 95th St,41.7218499,-87.6228544,25,16,15,8,9,8,41,17,23
232,20105,Halsted St & 96th St,41.71971218,-87.64301956,11,6,6,4,5,2,17,7,10
233,20106,Chicago State University,41.71896342,-87.60829568,28,26,19,16,6,7,54,13,35
234,20107,Walden Pkwy & 100th St,41.712178,-87.667683,26,10,23,8,2,2,36,4,31
235,20108,Hale Ave & 107th St,41.699206,-87.668919,25,26,11,10,5,7,51,12,21
236,20109,Vernon Ave & 107th St,41.70018333,-87.61236467,9,6,5,4,4,2,15,6,9
237,20110,Eberhart Ave & 91st St,41.90218467,-87.75093183,9,7,6,2,3,5,16,8,8
238,20111,Olive Harvey College,41.70958114,-87.59023368,13,4,10,3,3,1,17,4,13
239,20112,Indiana Ave & 103rd St,41.70717027,-87.61847198,3,2,1,0,2,2,5,4,0
240,20113,Dauphin Ave & 103rd St,41.70725037,-87.60766268,6,8,1,2,3,5,14,8,3
241,20114,Doty Ave & 111th St,41.69501045,-87.59871483,7,2,2,0,5,2,9,7,0
242,20116,Dauphin Ave & 87th St,41.73655902,-87.60125756,16,4,10,2,6,2,20,8,12
243,20118,Eggleston Ave & 92nd St,41.7276535,-87.63485067,9,4,9,4,0,0,13,0,13
244,20119,Elizabeth St & 92nd St,41.72687113,-87.65428746,6,3,5,3,1,0,9,0,8
245,20120,Stewart Ave & 83rd St,41.743717,-87.634088,7,7,2,2,5,5,14,10,4
246,20121,Loomis Blvd & 84th St,41.74153217,-87.65844033,22,17,18,11,4,6,39,10,29
247,20123,Western Ave & 104th St,41.7045871,-87.68120348,18,15,5,4,13,10,33,23,9
248,20124,Vincennes Ave & 104th St,41.70498567,-87.65708,20,13,19,12,1,1,33,2,31
249,20125,Halsted St & 104th St,41.70519633,-87.64247083,11,8,10,7,1,1,19,2,17
250,20126,S Aberdeen St & W 106th St,41.7,-87.65,7,3,7,3,0,0,10,0,10
251,20127,Halsted St & 111th St,41.69226256,-87.64261186,5,6,1,2,4,4,11,8,3
252,20128,S Wentworth Ave & W 111th St,41.69,-87.63,9,5,9,5,0,0,14,0,14
253,20129,Ada St & 113th St,41.68758464,-87.65539312,14,11,14,11,0,0,25,0,25
254,20130,Wentworth Ave & 104th St,41.70538167,-87.62885783,3,3,3,1,0,0,6,0,4
255,20131,Cottage Grove Ave & 111th Pl,41.691641,-87.61001483,13,8,13,6,0,0,21,0,19
256,20133,Woodlawn & 103rd - Olive Harvey Vaccination Site,41.71,-87.59,6,2,6,2,0,0,8,0,8
257,20134,Maryland Ave & 104th St,41.71,-87.6,6,7,6,7,0,0,13,0,13
258,20201,Kedzie Ave & 104th St,41.7,-87.7,18,9,18,9,0,0,27,0,27
259,20202,W 103rd St & S Avers Ave,41.71,-87.72,61,61,61,61,0,0,122,0,122
260,20203,Lawndale Ave & 111th St,41.69131919,-87.71288574,12,10,4,2,8,8,22,16,6
261,20204,Kedzie Ave & 110th St,41.69239475,-87.70096064,6,5,0,0,6,5,11,11,0
262,20205,Western Ave & 111th St,41.691211,-87.681297,28,10,19,1,8,9,38,17,20
263,20206,Homewood Ave & 115th St,41.68457533,-87.670912,14,13,12,8,2,5,27,7,20
264,20207,Major Taylor Trail & 115th St,41.68496966,-87.64528561,4,6,3,5,1,1,10,2,8
265,20208,Major Taylor Trail & 124th St,41.66869635,-87.63711333,6,4,1,0,5,4,10,9,0
266,20209,S Michigan Ave & E 118th St,41.68,-87.62,7,2,7,2,0,0,9,0,9
267,20210,State St & 123rd St,41.67064384,-87.62258649,6,4,4,3,2,1,10,3,7
268,20211,Eberhart Ave & 131st St,41.65795314,-87.61078382,1,2,1,2,0,0,3,0,3
